CO-BRANCH;OFFICE;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;ADA TRANSAKSI;QRIS;0;0;0;0;0;0;0;0;0;0;6;6;1;4;3;12;8;3
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;TIDAK BERTRANSAKSI;QRIS;0;0;1;0;0;1;0;1;1;0;8;3;0;1;4;14;8;6
482 - MEDAN BARU;214 - KCP BINJAI;ADA TRANSAKSI;QRIS;1;0;0;0;1;0;0;0;0;0;1;0;0;1;1;0;0;6
482 - MEDAN BARU;214 - KCP BINJAI;TIDAK BERTRANSAKSI;QRIS;1;1;0;0;0;0;0;0;0;0;1;0;0;0;2;5;3;3
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;ADA TRANSAKSI;QRIS;0;0;0;0;0;0;0;0;1;0;2;0;0;1;1;1;2;0
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;TIDAK BERTRANSAKSI;QRIS;1;0;0;0;0;0;1;0;0;2;3;0;0;2;3;5;3;1
221 - PEKANBARU;221 - PEKANBARU;ADA TRANSAKSI;QRIS;0;0;0;0;0;0;0;1;0;3;14;3;4;2;2;4;4;0
221 - PEKANBARU;221 - PEKANBARU;TIDAK BERTRANSAKSI;QRIS;2;0;1;0;1;0;0;0;0;0;1;0;3;2;0;1;0;1
221 - PEKANBARU;227 - KCP KAMPAR;ADA TRANSAKSI;QRIS;0;0;0;0;1;0;0;1;1;2;5;3;3;6;4;3;3;3
221 - PEKANBARU;227 - KCP KAMPAR;TIDAK BERTRANSAKSI;QRIS;0;0;0;0;0;0;0;1;1;2;1;3;0;0;0;1;2;0
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;ADA TRANSAKSI;QRIS;0;0;0;0;0;0;1;0;0;0;4;1;0;1;1;4;1;3
211 - MEDAN BALAIKOTA;230 - KCP SERDANG;TIDAK BERTRANSAKSI;QRIS;0;0;0;0;0;0;0;1;2;0;1;2;0;4;5;4;3;2
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;ADA TRANSAKSI;QRIS;0;0;0;0;0;1;0;0;0;13;17;36;1;17;1;14;21;4
211 - MEDAN BALAIKOTA;231 - PADANGSIDIMPUAN;TIDAK BERTRANSAKSI;QRIS;0;1;0;0;0;0;1;0;0;6;12;3;1;0;0;3;0;0
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;ADA TRANSAKSI;QRIS;0;0;0;0;0;0;0;1;1;1;0;0;0;10;3;6;3;0
211 - MEDAN BALAIKOTA;233 - KCP PANYABUNGAN;TIDAK BERTRANSAKSI;QRIS;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;5;0;0
241 - BANDA ACEH;241 - BANDA ACEH;ADA TRANSAKSI;QRIS;0;0;0;0;0;0;0;0;1;0;0;1;1;3;1;5;3;5
241 - BANDA ACEH;241 - BANDA ACEH;TIDAK BERTRANSAKSI;QRIS;0;0;0;0;0;0;0;0;0;0;3;0;0;2;4;2;0;4
482 - MEDAN BARU;251 - PEMATANG SIANTAR;ADA TRANSAKSI;QRIS;0;0;0;1;0;0;0;0;0;1;3;0;0;4;2;4;3;3
482 - MEDAN BARU;251 - PEMATANG SIANTAR;TIDAK BERTRANSAKSI;QRIS;0;0;0;0;0;0;0;0;0;0;4;0;1;1;0;0;1;3
482 - MEDAN BARU;252 - KCP KISARAN;ADA TRANSAKSI;QRIS;0;0;0;0;0;0;0;0;0;0;2;0;0;3;2;10;11;4
482 - MEDAN BARU;252 - KCP KISARAN;TIDAK BERTRANSAKSI;QRIS;0;0;1;0;0;0;0;0;6;2;1;1;2;0;0;0;2;3
241 - BANDA ACEH;261 - LANGSA;ADA TRANSAKSI;QRIS;0;1;0;0;0;0;1;0;0;1;1;0;4;2;0;1;2;1
241 - BANDA ACEH;261 - LANGSA;TIDAK BERTRANSAKSI;QRIS;1;2;1;0;1;0;2;0;0;0;0;0;0;4;5;5;2;1
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;ADA TRANSAKSI;QRIS;0;0;0;0;0;0;0;0;1;4;3;0;1;1;1;6;4;1
241 - BANDA ACEH;262 - KCP LHOKSEUMAWE;TIDAK BERTRANSAKSI;QRIS;0;1;0;0;0;0;0;0;1;5;4;0;2;1;3;1;2;4
351 - LAMPUNG;351 - LAMPUNG;ADA TRANSAKSI;QRIS;4;0;0;1;0;1;1;0;5;16;14;3;1;1;2;4;2;1
351 - LAMPUNG;351 - LAMPUNG;TIDAK BERTRANSAKSI;QRIS;20;2;2;1;0;0;4;0;0;2;4;10;0;1;0;3;9;4
351 - LAMPUNG;352 - KCP BANDAR JAYA;ADA TRANSAKSI;QRIS;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0
351 - LAMPUNG;352 - KCP BANDAR JAYA;TIDAK BERTRANSAKSI;QRIS;0;0;0;0;0;0;0;0;1;6;1;0;0;2;1;2;0;2
351 - LAMPUNG;353 - KCP METRO LAMPUNG;ADA TRANSAKSI;QRIS;0;2;0;0;1;0;0;1;1;2;1;0;1;1;3;2;0;0
351 - LAMPUNG;353 - KCP METRO LAMPUNG;TIDAK BERTRANSAKSI;QRIS;1;4;18;1;21;1;1;19;11;2;0;0;0;1;7;11;3;2
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;ADA TRANSAKSI;QRIS;0;1;0;0;0;0;1;1;1;2;2;0;3;2;7;5;4;1
351 - LAMPUNG;355 - KCP ZA PAGAR ALAM LAMPUNG;TIDAK BERTRANSAKSI;QRIS;5;5;1;1;0;3;2;5;6;2;3;4;3;4;0;1;0;3
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;ADA TRANSAKSI;QRIS;1;0;0;0;1;1;3;0;6;5;1;2;0;5;2;3;0;0
351 - LAMPUNG;356 - KCP KOTABUMI LAMPUNG;TIDAK BERTRANSAKSI;QRIS;0;1;0;0;1;1;0;0;1;5;4;2;0;3;1;6;3;2
361 - PALEMBANG;361 - PALEMBANG;ADA TRANSAKSI;QRIS;0;0;1;0;1;1;0;0;0;0;4;10;0;7;2;7;7;10
361 - PALEMBANG;361 - PALEMBANG;TIDAK BERTRANSAKSI;QRIS;0;0;1;0;0;1;1;1;1;2;1;1;0;2;0;1;0;1
361 - PALEMBANG;366 - KCP PLAJU;ADA TRANSAKSI;QRIS;0;2;0;0;0;0;0;0;0;2;3;2;0;1;5;3;3;6
361 - PALEMBANG;366 - KCP PLAJU;TIDAK BERTRANSAKSI;QRIS;1;0;1;0;1;1;0;0;0;0;1;0;1;1;2;4;8;3
371 - PANGKAL PINANG;371 - PANGKAL PINANG;ADA TRANSAKSI;QRIS;0;1;0;0;1;2;2;1;0;3;7;4;5;2;6;2;2;0
371 - PANGKAL PINANG;371 - PANGKAL PINANG;TIDAK BERTRANSAKSI;QRIS;1;0;2;0;2;2;0;1;1;4;0;0;0;1;1;3;1;3
371 - PANGKAL PINANG;372 - KCP TANJUNG PANDAN;ADA TRANSAKSI;QRIS;0;0;1;0;1;0;1;0;0;1;1;0;0;3;1;0;7;1
371 - PANGKAL PINANG;372 - KCP TANJUNG PANDAN;TIDAK BERTRANSAKSI;QRIS;0;0;0;0;1;0;0;0;1;2;6;1;0;1;2;1;0;0
371 - PANGKAL PINANG;373 - KCP SUNGAILIAT;ADA TRANSAKSI;QRIS;1;1;0;0;0;0;0;0;0;1;0;0;0;4;9;7;8;1
371 - PANGKAL PINANG;373 - KCP SUNGAILIAT;TIDAK BERTRANSAKSI;QRIS;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;0;0
361 - PALEMBANG;398 - KCP BATURAJA;ADA TRANSAKSI;QRIS;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1
361 - PALEMBANG;398 - KCP BATURAJA;TIDAK BERTRANSAKSI;QRIS;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;1;0
361 - PALEMBANG;401 - KCP ENIM;ADA TRANSAKSI;QRIS;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
361 - PALEMBANG;401 - KCP ENIM;TIDAK BERTRANSAKSI;QRIS;0;0;0;0;0;0;0;0;0;0;2;0;0;2;1;1;1;7
221 - PEKANBARU;411 - BATAM;ADA TRANSAKSI;QRIS;1;3;1;0;0;0;2;0;2;4;0;0;0;0;1;7;5;5
221 - PEKANBARU;411 - BATAM;TIDAK BERTRANSAKSI;QRIS;0;0;1;0;0;0;1;0;0;0;2;0;4;3;0;1;6;0
