CO-BRANCH;OFFICE;;PRODUCT;GROUP;Jan-25;Feb-25;Mar-25;Apr-25;May-25;Jun-25;Jul-25;Aug-25;Sep-25;Oct-25;Nov-25;Dec-25;Jan-26;Feb-26;Mar-26;Apr-26;May-26;Jun-26
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;MEDAN BALAIKOTA;ASHA Prima;Referral;0;0;0;0;0;0;0;0; 16.000.000 ; 135.000.000 ;0; 16.000.000 ;0; 16.000.000 ; 16.000.000 ; 30.000.000 ; 16.000.000 ; 20.000.000 
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;MEDAN BALAIKOTA;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0; 66.892.000 ;0; -   ; -   ; -   ; -   
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;MEDAN BALAIKOTA;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
211 - MEDAN BALAIKOTA;211 - MEDAN BALAIKOTA;MEDAN BALAIKOTA;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0; 12.000.000 ; 12.000.000 ; 7.500.000 ;0;0; -   ; -   ; -   ; -   
482 - MEDAN BARU;214 - KCP BINJAI;KCP BINJAI;ASHA Prima;Referral;0;0;0;0;0;0;0;0;0; 32.000.000 ;0;0; 16.000.000 ;0; -   ; 16.000.000 ; -   ; -   
482 - MEDAN BARU;214 - KCP BINJAI;KCP BINJAI;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
482 - MEDAN BARU;214 - KCP BINJAI;KCP BINJAI;SHSS/SHIFA;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
482 - MEDAN BARU;214 - KCP BINJAI;KCP BINJAI;SAHAJA;Distribusi;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;KCP SUKARAMAI;ASHA Prima;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
211 - MEDAN BALAIKOTA;215 - KCP SUKARAMAI;KCP SUKARAMAI;ASHAR USD;Referral;0;0;0;0;0;0;0;0;0;0;0;0;0;0; -   ; -   ; -   ; -   
